-55*v0*(v0&v1)+80*v0*(v0&~v1)+70*v0*v1-70*v0*~(v0&v1)+85*v0*~(v0|v1)+20*v0*~(v0|~v1)-22*~(v0|~v1)*(v0&v1)+32*~(v0|~v1)*(v0&~v1)+28*~(v0|~v1)*v1-28*~(v0|~v1)*~(v0&v1)+34*~(v0|~v1)*~(v0|v1)+8*~(v0|~v1)*~(v0|~v1)-5*v0*(v0^v1)-10*v0*~(v0&~v1)-2*~(v0|~v1)*(v0^v1)-4*~(v0|~v1)*~(v0&~v1),-5*v0-2*~(v0|~v1)
9*(v0&~v1)*(v0&v1)+33*(v0&~v1)*(v0&~v1)-42*(v0&~v1)*~(v0&v1)+54*(v0&~v1)*~(v0|v1)+30*(v0&~v1)*~(v0|~v1)-3*(v0&~v1)*~v1+6*~(v0|~v1)*(v0&v1)+22*~(v0|~v1)*(v0&~v1)-28*~(v0|~v1)*~(v0&v1)+36*~(v0|~v1)*~(v0|v1)+20*~(v0|~v1)*~(v0|~v1)-2*~(v0|~v1)*~v1+15*(v0&~v1)*~(v0&~v0)-21*(v0&~v1)*~(v0^v1)+10*~(v0|~v1)*~(v0&~v0)-14*~(v0|~v1)*~(v0^v1),-3*(v0&~v1)-2*~(v0|~v1)
-27*v1*(v0&v1)-21*v1*(v0&~v1)+12*v1*~(v0&~v0)+6*v1*~(v0&~v1)-9*v1*~(v0|v1)-3*v1*~(v0|~v1)-63*(v0|~v1)*(v0&v1)-49*(v0|~v1)*(v0&~v1)+28*(v0|~v1)*~(v0&~v0)+14*(v0|~v1)*~(v0&~v1)-21*(v0|~v1)*~(v0|v1)-7*(v0|~v1)*~(v0|~v1)+6*v1*(v0|~v1)-18*v1*~v0+14*(v0|~v1)*(v0|~v1)-42*(v0|~v1)*~v0,3*v1+7*(v0|~v1)
-4*(v0^v1)*(v0&v1)+7*(v0^v1)*(v0&~v1)+2*(v0^v1)*~(v0|v1)+8*(v0^v1)*~(v0|~v1)+1*(v0^v1)*~v1-7*(v0^v1)*~(v0&v1)+5*(v0^v1)*~(v0^v1),-1*(v0^v1)
-357*(v0&~v1)*(v0&v1)+102*(v0&~v1)*(v0&~v1)+374*(v0&~v1)*~(v0^v1)-306*(v0&~v1)*~(v0|v1)-17*(v0&~v1)*~(v0|~v1)-105*~(v0|~v1)*(v0&v1)+30*~(v0|~v1)*(v0&~v1)+110*~(v0|~v1)*~(v0^v1)-90*~(v0|~v1)*~(v0|v1)-5*~(v0|~v1)*~(v0|~v1)+34*(v0&~v1)*~v0-85*(v0&~v1)*~v1+10*~(v0|~v1)*~v0-25*~(v0|~v1)*~v1,-17*(v0&~v1)-5*~(v0|~v1)
33*(v0|v1)*(v0&v1)-11*(v0|v1)*(v0&~v1)-22*(v0|v1)*v1-22*(v0|v1)*~(v0&~v1)+11*(v0|v1)*~(v0|v1)+33*(v0|v1)*~(v0|~v1)+11*(v0&~v1)*(v0&v1)-33*(v0&~v1)*(v0&~v1)-44*(v0&~v1)*v1-33*(v0&~v1)*~(v0|v1)+11*(v0&~v1)*~(v0|~v1)+22*(v0|v1)*~(v0&~v0)+22*(v0&~v1)*~(v0&~v0),-11*(v0|v1)+11*(v0&~v1)
-36*v1*(v0&v1)-19*v1*(v0&~v1)+20*v1*~(v0&~v0)+6*v1*~(v0&~v1)-36*v1*~(v0|v1)-25*v1*~(v0|~v1)+11*v1*~(v0^v1),-1*v1
-14*~v1*(v0&~v1)+14*~v1*v0+16*(v0&~v1)*(v0&~v1)-16*(v0&~v1)*v0+14*~v1*~(v0&v1)-7*~v1*~(v0&~v0)-16*(v0&~v1)*~(v0&v1)+8*(v0&~v1)*~(v0&~v0),-7*~v1+8*(v0&~v1)
24*(v0&v1)*(v0&v1)+54*(v0&v1)*(v0&~v1)-12*(v0&v1)*v0+48*(v0&v1)*~(v0|~v1)-36*(v0&v1)*(v0^v1)-6*(v0&v1)*~(v0&~v1)+12*(v0&v1)*~(v0|v1),-6*(v0&v1)
-2*~(v0&~v1)*(v0&v1)+12*~(v0&~v1)*(v0&~v1)-4*~(v0&~v1)*~(v0&~v0)+7*~(v0&~v1)*~(v0^v1)-2*~(v0&~v1)*~(v0|v1)+12*~(v0&~v1)*~(v0|~v1)-7*~(v0&~v1)*(v0^v1),-1*~(v0&~v1)
-33*(v0|~v1)*(v0&v1)-31*(v0|~v1)*(v0&~v1)+10*(v0|~v1)*(v0|v1)+22*(v0|~v1)*v0-7*(v0|~v1)*~(v0|v1)-17*(v0|~v1)*~(v0|~v1)+66*~(v0|~v1)*(v0&v1)+62*~(v0|~v1)*(v0&~v1)-20*~(v0|~v1)*(v0|v1)-44*~(v0|~v1)*v0+14*~(v0|~v1)*~(v0|v1)+34*~(v0|~v1)*~(v0|~v1)+2*(v0|~v1)*~(v0&~v1)+6*(v0|~v1)*~v0-4*~(v0|~v1)*~(v0&~v1)-12*~(v0|~v1)*~v0,-1*(v0|~v1)+2*~(v0|~v1)
-4*v1*(v0&v1)-4*v1*(v0&~v1)+4*v1*v0+7*v1*~(v0|v1)+7*v1*~(v0|~v1)+20*(v0&v1)*(v0&v1)+20*(v0&v1)*(v0&~v1)-24*(v0&v1)*(v0|~v1)+34*(v0&v1)*~(v0|v1)+10*(v0&v1)*~(v0|~v1)+1*v1*~(v0&~v0)-7*v1*~v0+2*(v0&v1)*~(v0&~v0)-14*(v0&v1)*~v0,-1*v1+2*(v0&v1)
-2*~(v0|~v1)*(v0&v1)-8*~(v0|~v1)*(v0&~v1)-14*~(v0|~v1)*~(v0|v1)-4*~(v0|~v1)*~(v0|~v1)+12*~(v0|~v1)*~v1-1*v1*(v0&v1)-4*v1*(v0&~v1)-7*v1*~(v0|v1)-2*v1*~(v0|~v1)+6*v1*~v1-2*~(v0|~v1)*(v0|~v1)+6*~(v0|~v1)*~(v0&~v1)-1*v1*(v0|~v1)+3*v1*~(v0&~v1),-2*~(v0|~v1)-1*v1
-11*~(v0|v1)*(v0&v1)-18*~(v0|v1)*(v0&~v1)+10*~(v0|v1)*(v0|~v1)-19*~(v0|v1)*~(v0|v1)-1*~(v0|v1)*~(v0|~v1)+7*~(v0|v1)*~v1-1*~(v0|v1)*(v0^v1)+1*~(v0|v1)*~(v0&v1),1*~(v0|v1)
4*(v0|~v1)*(v0&v1)+12*(v0|~v1)*~(v0|~v1)+12*(v0|~v1)*~v1-11*(v0&v1)*(v0&v1)-198*(v0&v1)*(v0&~v1)+110*(v0&v1)*(v0^v1)-88*(v0&v1)*~(v0|v1)-99*(v0&v1)*~(v0|~v1)+99*(v0&v1)*~v1-8*(v0|~v1)*~(v0&v1)-22*(v0&v1)*~(v0&v1),-4*(v0|~v1)+11*(v0&v1)
-18*~(v0|~v1)*(v0&v1)-30*~(v0|~v1)*(v0&~v1)+15*~(v0|~v1)*~(v0^v1)-24*~(v0|~v1)*~(v0|v1)-24*~(v0|~v1)*~(v0|~v1)+6*~(v0|~v1)*~v1+24*(v0^v1)*(v0&v1)+40*(v0^v1)*(v0&~v1)-20*(v0^v1)*~(v0^v1)+32*(v0^v1)*~(v0|v1)+32*(v0^v1)*~(v0|~v1)-8*(v0^v1)*~v1+21*~(v0|~v1)*(v0^v1)-28*(v0^v1)*(v0^v1),3*~(v0|~v1)-4*(v0^v1)
9*(v0^v1)*(v0&v1)+16*(v0^v1)*(v0&~v1)-17*(v0^v1)*(v0|v1)+7*(v0^v1)*v1-1*(v0^v1)*~(v0|v1)+9*(v0^v1)*~(v0|~v1)-7*(v0&~v1)*(v0&v1)-4*(v0&~v1)*(v0&~v1)+5*(v0&~v1)*(v0|v1)+3*(v0&~v1)*v1+1*(v0&~v1)*~(v0|v1)-7*(v0&~v1)*~(v0|~v1),1*(v0^v1)-1*(v0&~v1)
18*~(v0|v1)*(v0&~v1)-12*~(v0|v1)*~(v0^v1)+72*~(v0|v1)*~(v0|v1)-12*~(v0|v1)*~(v0|~v1)-66*~(v0|v1)*~v1-17*v1*(v0&~v1)-10*v1*~(v0|v1)+11*v1*~v1-42*~(v0|v1)*(v0&v1)+42*~(v0|v1)*v0+6*~(v0|v1)*v1-7*v1*(v0&v1)+7*v1*v0+1*v1*v1,6*~(v0|v1)-1*v1
35*(v0^v1)*(v0&v1)+35*(v0^v1)*(v0&~v1)-70*(v0^v1)*(v0|v1)-35*(v0^v1)*~(v0|v1)+70*(v0^v1)*~(v0|~v1)-7*~(v0&v1)*(v0&v1)+3*~(v0&v1)*(v0&~v1)+10*~(v0&v1)*v1+3*~(v0&v1)*~(v0|v1)-12*~(v0&v1)*~(v0|~v1)+35*(v0^v1)*(v0|~v1)-7*(v0^v1)*~(v0&~v0)-5*~(v0&v1)*(v0|~v1)+1*~(v0&v1)*~(v0&~v0),7*(v0^v1)+1*~(v0&v1)
10*~(v0&~v0)*(v0&v1)-15*~(v0&~v0)*(v0&~v1)-2*~(v0&~v0)*(v0|~v1)+25*~(v0&~v0)*~(v0&v1)-22*~(v0&~v0)*~(v0|v1)-17*~(v0&~v0)*~(v0|~v1)-7*~(v0&~v0)*(v0|v1),-1*~(v0&~v0)
-17*(v0^v1)*(v0&v1)-6*(v0^v1)*(v0&~v1)+5*(v0^v1)*~(v0&~v0)+5*(v0^v1)*~(v0|v1)-17*(v0^v1)*~(v0|~v1)-11*(v0^v1)*~v1-11*v1*(v0&v1)-22*v1*(v0&~v1)+1*v1*~(v0&~v0)-11*v1*~(v0|v1)-11*v1*~(v0|~v1)+11*v1*~v1+11*(v0^v1)*(v0|v1)+11*v1*(v0|v1),1*(v0^v1)-1*v1
88*(v0^v1)*(v0&v1)+88*(v0^v1)*(v0&~v1)-121*(v0^v1)*~(v0|~v1)+132*(v0^v1)*~v0+8*~(v0&v1)*(v0&v1)+8*~(v0&v1)*(v0&~v1)-11*~(v0&v1)*~(v0|~v1)+12*~(v0&v1)*~v0-77*(v0^v1)*v0-121*(v0^v1)*~(v0|v1)-7*~(v0&v1)*v0-11*~(v0&v1)*~(v0|v1),-11*(v0^v1)-1*~(v0&v1)
25*(v0&v1)*(v0&v1)+25*(v0&v1)*(v0&~v1)+5*(v0&v1)*~(v0&~v0)+25*(v0&v1)*~(v0|~v1)-30*~(v0|~v1)*(v0&v1)-30*~(v0|~v1)*(v0&~v1)-84*~(v0|~v1)*v0+138*~(v0|~v1)*~(v0&~v0)-144*~(v0|~v1)*~(v0|v1)-114*~(v0|~v1)*~(v0|~v1)-25*(v0&v1)*(v0|v1)-30*~(v0|~v1)*(v0|v1),-5*(v0&v1)+6*~(v0|~v1)
49*(v0|v1)*(v0&v1)+42*(v0|v1)*(v0&~v1)+14*(v0|v1)*(v0^v1)-21*(v0|v1)*(v0|~v1)+35*(v0|v1)*~(v0|v1)+7*(v0^v1)*(v0&v1)+6*(v0^v1)*(v0&~v1)+2*(v0^v1)*(v0^v1)-3*(v0^v1)*(v0|~v1)+5*(v0^v1)*~(v0|v1)-21*(v0|v1)*(v0|v1)-7*(v0|v1)*~(v0&v1)+21*(v0|v1)*~(v0|~v1)-3*(v0^v1)*(v0|v1)-1*(v0^v1)*~(v0&v1)+3*(v0^v1)*~(v0|~v1),-7*(v0|v1)-1*(v0^v1)
77*(v0|v1)*(v0&v1)+55*(v0|v1)*(v0&~v1)-33*(v0|v1)*~(v0|v1)+11*(v0|v1)*~(v0|~v1)+33*(v0|v1)*~v1+80*(v0&v1)*(v0&v1)+304*(v0&v1)*(v0&~v1)-160*(v0&v1)*(v0^v1)+16*(v0&v1)*~(v0|v1)+144*(v0&v1)*~(v0|~v1)-48*(v0&v1)*~v1-77*(v0|v1)*v0+11*(v0|v1)*~(v0^v1)-112*(v0&v1)*v0+16*(v0&v1)*~(v0^v1),-11*(v0|v1)+16*(v0&v1)
-18*(v0&v1)*(v0&v1)+18*(v0&v1)*(v0&~v1)+24*(v0&v1)*~(v0&~v1)-36*(v0&v1)*~(v0|v1)-36*(v0&v1)*~(v0|~v1)-3*~(v0&~v1)*(v0&v1)+3*~(v0&~v1)*(v0&~v1)+4*~(v0&~v1)*~(v0&~v1)-6*~(v0&~v1)*~(v0|v1)-6*~(v0&~v1)*~(v0|~v1)-12*(v0&v1)*~(v0&v1)+30*(v0&v1)*~v0-2*~(v0&~v1)*~(v0&v1)+5*~(v0&~v1)*~v0,-6*(v0&v1)-1*~(v0&~v1)
-220*(v0|~v1)*(v0&v1)-154*(v0|~v1)*(v0&~v1)+165*(v0|~v1)*v0+44*(v0|~v1)*v1-11*(v0|~v1)*~(v0|v1)-55*(v0|~v1)*~(v0|~v1)-126*~(v0|~v1)*(v0&v1)-108*~(v0|~v1)*(v0&~v1)+99*~(v0|~v1)*v0-27*~(v0|~v1)*~(v0|v1)-27*~(v0|~v1)*~(v0|~v1)+22*(v0|~v1)*~(v0&~v1)+18*~(v0|~v1)*~(v0&~v1),-11*(v0|~v1)+9*~(v0|~v1)
-30*~(v0&~v0)*(v0&v1)+15*~(v0&~v0)*(v0&~v1)-20*~(v0&~v0)*~(v0&~v0)-40*~(v0&~v0)*~(v0|v1)-40*~(v0&~v0)*~(v0|~v1)+10*~(v0&~v0)*~(v0&v1)+55*~(v0&~v0)*~(v0&~v1),-5*~(v0&~v0)
4*(v0&~v1)*(v0&v1)+8*(v0&~v1)*(v0&~v1)+24*(v0&~v1)*(v0^v1)+32*(v0&~v1)*~(v0|v1)-20*(v0&~v1)*~(v0|~v1)-28*(v0&~v1)*~v1,-4*(v0&~v1)
-3*~(v0|~v1)*(v0&v1)-6*~(v0|~v1)*~(v0|~v1)+3*~(v0|~v1)*~v1+1*(v0|~v1)*(v0&v1)+2*(v0|~v1)*~(v0|~v1)-1*(v0|~v1)*~v1+6*~(v0|~v1)*v1-3*~(v0|~v1)*~(v0|v1)+3*~(v0|~v1)*~v0-2*(v0|~v1)*v1+1*(v0|~v1)*~(v0|v1)-1*(v0|~v1)*~v0,-3*~(v0|~v1)+1*(v0|~v1)
-66*v0*(v0&v1)-36*v0*(v0&~v1)+30*v0*~(v0&~v1)-36*v0*~(v0|v1)-36*v0*~(v0|~v1)+66*(v0&~v1)*(v0&v1)+36*(v0&~v1)*(v0&~v1)-30*(v0&~v1)*~(v0&~v1)+36*(v0&~v1)*~(v0|v1)+36*(v0&~v1)*~(v0|~v1)+30*v0*v0-30*(v0&~v1)*v0,6*v0-6*(v0&~v1)
-195*~(v0|v1)*(v0&~v1)+52*~(v0|v1)*~(v0&~v1)-247*~(v0|v1)*~(v0|v1)-104*~(v0|v1)*~(v0|~v1)+228*(v0&v1)*(v0&~v1)-24*(v0&v1)*v0+204*(v0&v1)*~(v0|v1)+72*(v0&v1)*~(v0|~v1)-104*~(v0|v1)*(v0&v1)+65*~(v0|v1)*~(v0&~v0)+143*~(v0|v1)*~v1+96*(v0&v1)*(v0&v1)-60*(v0&v1)*~(v0&~v0)-132*(v0&v1)*~v1,-13*~(v0|v1)-12*(v0&v1)
-143*(v0&v1)*(v0&v1)-130*(v0&v1)*(v0&~v1)+182*(v0&v1)*v0+26*(v0&v1)*~(v0|v1)+39*(v0&v1)*~(v0|~v1)+77*(v0|~v1)*(v0&v1)+70*(v0|~v1)*(v0&~v1)-98*(v0|~v1)*v0-14*(v0|~v1)*~(v0|v1)-21*(v0|~v1)*~(v0|~v1)-26*(v0&v1)*(v0|v1)-13*(v0&v1)*~v1+14*(v0|~v1)*(v0|v1)+7*(v0|~v1)*~v1,-13*(v0&v1)+7*(v0|~v1)
-5*~(v0|~v1)*~(v0&~v0)+5*~(v0|~v1)*~(v0|v1)-4*~(v0|v1)*(v0&v1)-2*~(v0|v1)*~(v0&~v0)+4*~(v0|v1)*~(v0&~v1)-6*~(v0|v1)*~(v0|v1)-4*~(v0|v1)*~(v0|~v1)+5*~(v0|~v1)*(v0&~v1)-5*~(v0|~v1)*~v1-2*~(v0|v1)*(v0&~v1)+2*~(v0|v1)*~v1,5*~(v0|~v1)+2*~(v0|v1)
10*(v0&~v1)*(v0&v1)+10*(v0&~v1)*(v0&~v1)+12*(v0&~v1)*~(v0|v1)+10*(v0&~v1)*~(v0|~v1)-20*(v0^v1)*(v0&v1)-20*(v0^v1)*(v0&~v1)-24*(v0^v1)*~(v0|v1)-20*(v0^v1)*~(v0|~v1)+2*(v0&~v1)*(v0|v1)-14*(v0&~v1)*~(v0&~v0)-4*(v0^v1)*(v0|v1)+28*(v0^v1)*~(v0&~v0),2*(v0&~v1)-4*(v0^v1)
18*~(v0|v1)*v0+27*~(v0|v1)*~(v0|v1)+108*~(v0|v1)*~(v0|~v1)-18*~(v0|v1)*~v0-4*~v0*v0-6*~v0*~(v0|v1)-24*~v0*~(v0|~v1)+4*~v0*~v0+72*~(v0|v1)*(v0&v1)+9*~(v0|v1)*(v0&~v1)-18*~(v0|v1)*(v0|v1)-63*~(v0|v1)*v1-16*~v0*(v0&v1)-2*~v0*(v0&~v1)+4*~v0*(v0|v1)+14*~v0*v1,-9*~(v0|v1)+2*~v0
2*(v0&~v1)*(v0&v1)+1*(v0&~v1)*(v0&~v1)+4*(v0&~v1)*~(v0|v1)+3*(v0&~v1)*~(v0|~v1)-12*~(v0|v1)*(v0&v1)-3*~(v0|v1)*(v0&~v1)+12*~(v0|v1)*v1+4*~(v0|v1)*~(v0&v1)-6*~(v0|v1)*~(v0|v1)-17*~(v0|v1)*~(v0|~v1)-1*(v0&~v1)*~(v0^v1)-2*(v0&~v1)*~v0+1*~(v0|v1)*~(v0^v1)+2*~(v0|v1)*~v0,-1*(v0&~v1)-1*~(v0|v1)
-112*~(v0|~v1)*(v0&v1)+42*~(v0|~v1)*(v0&~v1)+154*~(v0|~v1)*~(v0^v1)-56*~(v0|~v1)*~(v0|v1)+70*~(v0|~v1)*~(v0|~v1)-56*~(v0|~v1)*~v0-28*~(v0|~v1)*(v0|~v1),-14*~(v0|~v1)
-28*(v0&v1)*(v0&~v1)-4*(v0&v1)*v0-26*(v0&v1)*~(v0|v1)-10*(v0&v1)*~(v0|~v1)+22*(v0&v1)*~v1+12*(v0&v1)*(v0^v1)+6*(v0&v1)*~(v0^v1),-2*(v0&v1)
-165*~(v0&~v0)*(v0&v1)-99*~(v0&~v0)*(v0&~v1)+77*~(v0&~v0)*(v0|~v1)-22*~(v0&~v0)*~(v0|v1)-88*~(v0&~v0)*~(v0|~v1)-66*~(v0&~v0)*~v1+225*(v0&v1)*(v0&v1)+135*(v0&v1)*(v0&~v1)-105*(v0&v1)*(v0|~v1)+30*(v0&v1)*~(v0|v1)+120*(v0&v1)*~(v0|~v1)+90*(v0&v1)*~v1+77*~(v0&~v0)*(v0|v1)-105*(v0&v1)*(v0|v1),11*~(v0&~v0)-15*(v0&v1)
-9*(v0&v1)*(v0&v1)-72*(v0&v1)*(v0&~v1)+72*(v0&v1)*(v0^v1)+18*(v0&v1)*v1+18*(v0&v1)*~(v0|v1)-90*(v0&v1)*~(v0|~v1)-5*~(v0&v1)*(v0&v1)-40*~(v0&v1)*(v0&~v1)+40*~(v0&v1)*(v0^v1)+10*~(v0&v1)*v1+10*~(v0&v1)*~(v0|v1)-50*~(v0&v1)*~(v0|~v1)-9*(v0&v1)*~(v0&v1)-18*(v0&v1)*~(v0^v1)-5*~(v0&v1)*~(v0&v1)-10*~(v0&v1)*~(v0^v1),9*(v0&v1)+5*~(v0&v1)
6*(v0&v1)*(v0&v1)+4*(v0&v1)*(v0&~v1)+2*(v0&v1)*v1-4*(v0&v1)*~(v0^v1)+8*(v0&v1)*~(v0|v1)+2*(v0&v1)*~(v0|~v1)-3*(v0&v1)*~(v0&~v0),-1*(v0&v1)
11*(v0|v1)*(v0&v1)+220*(v0|v1)*(v0&~v1)-220*(v0|v1)*~(v0&v1)+231*(v0|v1)*~(v0|v1)+220*(v0|v1)*~(v0|~v1)+11*(v0|v1)*(v0^v1),-11*(v0|v1)
-3*~(v0|v1)*(v0&v1)+2*~(v0|v1)*~(v0&~v0)-2*~(v0|v1)*~(v0|v1)-1*~(v0|v1)*~(v0|~v1)-2*~(v0|~v1)*(v0&v1)-28*~(v0|~v1)*(v0&~v1)+20*~(v0|~v1)*~(v0&v1)-24*~(v0|~v1)*~(v0|v1)-26*~(v0|~v1)*~(v0|~v1)-2*~(v0|v1)*(v0^v1)-1*~(v0|v1)*~v1+4*~(v0|~v1)*(v0^v1)+2*~(v0|~v1)*~v1,1*~(v0|v1)+2*~(v0|~v1)
-24*~(v0|~v1)*(v0&v1)-24*~(v0|~v1)*(v0&~v1)+4*~(v0|~v1)*(v0|~v1)-46*~(v0|~v1)*~(v0|v1)+2*~(v0|~v1)*~(v0|~v1)+22*~(v0|~v1)*~v1-4*~(v0|~v1)*~(v0&~v0)+22*~(v0|~v1)*~(v0^v1),2*~(v0|~v1)
-6*(v0|v1)*~(v0|v1)-9*(v0|v1)*~(v0|~v1)+8*(v0|v1)*~v0-12*(v0|~v1)*~(v0&~v0)+24*(v0|~v1)*~(v0|v1)+42*(v0|~v1)*~(v0|~v1)-36*(v0|~v1)*~v0+2*(v0|v1)*(v0&v1)+2*(v0|v1)*(v0&~v1)-3*(v0|v1)*(v0|~v1)-12*(v0|~v1)*(v0&v1)-12*(v0|~v1)*(v0&~v1)+18*(v0|~v1)*(v0|~v1),1*(v0|v1)+6*(v0|~v1)
-8*~(v0|~v1)*(v0&~v1)+8*~(v0|~v1)*(v0^v1)+2*~(v0|~v1)*~(v0|v1)-4*~(v0|~v1)*~(v0|~v1)+12*~v0*(v0&~v1)-12*~v0*(v0^v1)-3*~v0*~(v0|v1)+6*~v0*~(v0|~v1)+2*~(v0|~v1)*(v0|~v1)-2*~(v0|~v1)*~v0-3*~v0*(v0|~v1)+3*~v0*~v0,-2*~(v0|~v1)+3*~v0
-4*~v0*(v0&~v1)-8*~v0*~(v0|v1)-8*~v0*~(v0|~v1)+6*~v0*~v0+6*~(v0|~v1)*(v0&~v1)+12*~(v0|~v1)*~(v0|v1)+12*~(v0|~v1)*~(v0|~v1)-9*~(v0|~v1)*~v0+2*~v0*~(v0&v1)-2*~v0*~(v0&~v1)-3*~(v0|~v1)*~(v0&v1)+3*~(v0|~v1)*~(v0&~v1),2*~v0-3*~(v0|~v1)
-64*~(v0|v1)*(v0&v1)+16*~(v0|v1)*(v0&~v1)-80*~(v0|v1)*~(v0&v1)-24*~(v0|v1)*~(v0|v1)+40*~(v0|v1)*~v0+24*~(v0|v1)*(v0|~v1)+32*~(v0|v1)*~(v0&~v0),8*~(v0|v1)
-22*~(v0|v1)*(v0&v1)+1*~(v0|v1)*(v0&~v1)+12*~(v0|v1)*v1-13*~(v0|v1)*~(v0|v1)-14*~(v0|v1)*~(v0|~v1)+3*~(v0|v1)*~v0+11*~(v0|v1)*~(v0^v1),-1*~(v0|v1)
-12*(v0^v1)*(v0&v1)-4*(v0^v1)*(v0&~v1)+16*(v0^v1)*v0+4*(v0^v1)*~(v0|v1)-24*(v0^v1)*~(v0|~v1)+8*(v0^v1)*~v0+21*(v0&~v1)*(v0&v1)+7*(v0&~v1)*(v0&~v1)-28*(v0&~v1)*v0-7*(v0&~v1)*~(v0|v1)+42*(v0&~v1)*~(v0|~v1)-14*(v0&~v1)*~v0+20*(v0^v1)*~(v0&v1)-28*(v0^v1)*~v1-35*(v0&~v1)*~(v0&v1)+49*(v0&~v1)*~v1,-4*(v0^v1)+7*(v0&~v1)
